mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver
636018800,2025-01-01 04:56:32,-73.95294,38.59738,11.0,11.6,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:57:41,-73.952,38.6009,11.0,11.4,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 04:58:52,-73.95104,38.60447,11.0,11.9,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:00:12,-73.94996,38.60848,11.0,12.1,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:01:40,-73.94879,38.6129,11.0,11.5,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:02:52,-73.94782,38.61646,11.0,11.9,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:04:01,-73.94683,38.62,11.1,12.0,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:05:10,-73.94589,38.62346,11.1,12.0,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:06:22,-73.94491,38.62705,11.1,11.9,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:07:30,-73.94398,38.63048,11.1,12.3,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:09:51,-73.94203,38.63764,11.1,12.0,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:11:00,-73.94105,38.64112,11.1,12.1,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
636018800,2025-01-01 05:12:11,-73.94009,38.64464,11.1,11.8,10,MAERSK KARLSKRONA,IMO9085558,D5RL4,79,0,318,43,12.1,79,A
